"product","RMSE","MAE"
"FOODS_3_807",3.33538601720002,2.50575013068479
"FOODS_3_739",3.30011063227958,2.91268146883006
"FOODS_3_672",3.23901439278445,2.71262415054888
"FOODS_3_077",3.23457973392418,2.8002205632847
"FOODS_3_368",3.21826390164155,2.49635949518333
"FOODS_3_449",3.19540678017556,2.16238518407886
"FOODS_3_540",3.19532767657082,2.56003861003861
"FOODS_3_503",3.17281127122554,2.345250679553
"FOODS_3_519",3.15861909719713,2.05093821915383
"FOODS_3_245",3.12419263008766,2.65821267176981
"FOODS_3_292",3.09684591265586,2.3414820473644
"FOODS_3_695",3.09113819132169,2.35714285714286
"FOODS_3_233",3.09000769617898,1.92857142857143
"FOODS_3_598",3.03925989182927,2.41711360312043
"FOODS_3_664",3.03188896814323,2.34792024494063
"FOODS_3_473",2.99989030676616,2.52974012396386
"FOODS_3_071",2.99266838063656,2.33298511360669
"FOODS_3_146",2.94570454474654,2.04710253155104
"FOODS_3_697",2.9268247428212,2.2697894107983
"FOODS_3_278",2.89209635526764,1.87794259916156
"FOODS_3_249",2.87004705930908,1.85004854006422
"FOODS_3_372",2.82419432390597,2.2417892403788
"FOODS_3_618",2.79497303578526,2.090819456617
"FOODS_3_477",2.79080345509476,2.28571428571429
"FOODS_3_435",2.78009957724091,1.65999551937869
"FOODS_3_124",2.76998904921975,2.36649615413337
"FOODS_3_783",2.7610526525175,2.14235521235521
"FOODS_3_306",2.73787339325418,2.16626901282434
"FOODS_3_657",2.70802511315829,2.5603732573827
"FOODS_3_578",2.69967401514227,2.12973265626167
"FOODS_3_134",2.66068883191284,2.31244138793373
"FOODS_3_178",2.65995284259636,2.10079531028303
"FOODS_3_101",2.63872563390517,2.07937432398702
"FOODS_3_238",2.63302098407513,1.805242326936
"FOODS_3_476",2.61054343543615,2
"FOODS_3_042",2.60804503046063,2.02124561272496
"FOODS_3_616",2.59947755270411,1.85947651407662
"FOODS_3_066",2.51632723034162,1.94409523809524
"FOODS_3_347",2.47214423071408,1.79779329400344
"FOODS_3_551",2.47023744346587,1.65103427675304
"FOODS_3_054",2.46840772910134,2.30513031140318
"FOODS_3_565",2.46110863708632,1.93559106862818
"FOODS_3_734",2.46073657610227,2.16682846688074
"FOODS_3_087",2.44485205836705,1.82857142857143
"FOODS_3_620",2.43395559635569,1.25386957624968
"FOODS_3_738",2.42582615023714,2.05399148681951
"FOODS_3_047",2.4246346460726,1.88500615763547
"FOODS_3_288",2.42280215737317,2.00745816153286
"FOODS_3_138",2.41731341305586,1.72120109190173
"FOODS_3_487",2.41617265229832,2.17228571428571
"FOODS_3_258",2.41591530191228,1.89285714285714
"FOODS_3_668",2.39883033831493,1.99938391456949
"FOODS_3_609",2.38468683744869,1.75188107430243
"FOODS_3_039",2.37313153216464,1.75836602815601
"FOODS_3_403",2.37179154758385,1.83137123337807
"FOODS_3_661",2.35574070054066,1.97690802348337
"FOODS_3_113",2.35404818774219,2.07926965872601
"FOODS_3_351",2.35327006677542,1.80475692629378
"FOODS_3_459",2.35024115530227,1.94756346118214
"FOODS_3_827",2.33707204528364,1.47025440313112
"FOODS_3_585",2.33211742692815,1.64659099395116
"FOODS_3_300",2.32954277445281,1.87364647897842
"FOODS_3_422",2.28211429483993,1.56896422970652
"FOODS_3_432",2.27872173500591,1.84696811291166
"FOODS_3_704",2.27777900097724,1.92328802927339
"FOODS_3_041",2.27737872598728,1.65335039553281
"FOODS_3_562",2.27073297057908,1.65508550519005
"FOODS_3_469",2.26524400560104,1.67857142857143
"FOODS_3_669",2.25575598796781,1.68539955190441
"FOODS_3_290",2.25390273325801,1.76781046971847
"FOODS_3_051",2.24888643927834,1.56015037593985
"FOODS_3_020",2.24585386551759,1.60740422671944
"FOODS_3_596",2.24221334363433,1.41664177432604
"FOODS_3_381",2.22037989986688,1.76099130227571
