"product","RMSE","MAE"
"FOODS_3_076",6.6536385305557,5.72430690595429
"FOODS_3_321",6.49431045483713,5.32537460175574
"FOODS_3_406",6.37898326914137,5.12266779066515
"FOODS_3_594",6.35690334784483,3.99886080767364
"FOODS_3_574",6.33423509770652,5.38213647980786
"FOODS_3_756",6.32084821429241,5.6622911012655
"FOODS_3_654",6.16836351674027,4.9562913005718
"FOODS_3_530",6.04235652860228,5.21732993037781
"FOODS_3_491",5.84809350501186,4.10154767388074
"FOODS_3_133",5.83936242396963,4.57142282963732
"FOODS_3_070",5.82867795713647,3.98453658744194
"FOODS_3_372",5.77594986934206,5.00618704359389
"FOODS_3_151",5.71083746802821,4.50697348719323
"FOODS_3_024",5.66353676124815,3.78375724111348
"FOODS_3_154",5.65691111818877,4.7064569592251
"FOODS_3_245",5.60100974367471,4.44233404680522
"FOODS_3_228",5.59433825646355,4.99753603407481
"FOODS_3_664",5.33221861806088,4.552483997639
"FOODS_3_652",5.31163641495925,4.8538694224471
"FOODS_3_671",5.27304915082124,1.72129370270462
"FOODS_3_741",5.15303042161345,3.49903732004914
"FOODS_3_099",5.10535659804701,4.21491413429807
"FOODS_3_702",4.88189734916348,3.24187043184423
"FOODS_3_499",4.84599116866244,3.79866200159267
"FOODS_3_124",4.8351933932003,3.50803651359491
"FOODS_3_288",4.66533208871111,3.93655974432469
"FOODS_3_281",4.60552041944447,3.78348336582085
"FOODS_3_614",4.602201038502,2.9323836348932
"FOODS_3_747",4.57393982408796,2.07216369911584
"FOODS_3_412",4.55924726170662,2.90733300948024
"FOODS_3_661",4.55377886022956,3.81229737071847
"FOODS_3_697",4.54931504656753,3.63544335607014
"FOODS_3_233",4.54031329259244,3.26648152325854
"FOODS_3_146",4.51314079658737,3.91570243559275
"FOODS_3_546",4.4963475377223,3.5064257040791
"FOODS_3_071",4.4709812617119,3.54125028845268
"FOODS_3_042",4.44226372640571,3.45049516098668
"FOODS_3_816",4.39089660517954,2.46561400512598
"FOODS_3_598",4.3713251765282,3.55490717607897
"FOODS_3_185",4.35167535580534,3.49392137369873
"FOODS_3_282",4.33204085159124,3.48614815412256
"FOODS_3_473",4.31693208762375,3.37089478794679
"FOODS_3_342",4.26456643759394,3.63222229512763
"FOODS_3_147",4.2358076183985,2.73354854213797
"FOODS_3_706",4.13869385017172,3.33835230259944
"FOODS_3_695",4.03818108836188,3.33761514970273
"FOODS_3_682",4.0013225915608,2.95796740601517
"FOODS_3_764",3.96530872270493,3.15736993507123
"FOODS_3_231",3.96065734457405,2.73795195977824
"FOODS_3_628",3.95110142972636,3.03937706911227
"FOODS_3_477",3.94055253117124,2.86169079852914
"FOODS_3_578",3.82505699085484,2.96608199976711
"FOODS_3_020",3.79547302254648,2.71468416873851
